,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
5574,Nedikima,Hardiment,7.0,postive,Mot,Boldly,Ngesibindi,Met vrymoedigheid,ka sebete .,Ngenkalipho,Noushingi
5575,Nedisanka,Volontiers,8.0,postive,Mot,Gladly,Ngobuhlakani,Met graagte,Ka lethabo .,Ngovuyo,Nemufaro
5576,Nedisua,Spontanément,9.0,postive,Mot,Spontaneously,Ngokuzenzakalelayo,Spontaan,ka go itiragalela .,Ngokuzenzekelayo,Zvine zvisizvo
5577,Nelukasa,Promptement,8.0,postive,Mot,Promptly,Masinyane,Onmiddellik,Ka pela .,Ngokukhawuleza,Nekukurumidza
5578,Nemutshimamutoke,Libéralement,9.0,postive,Mot,Liberally,Ngokulula,Liberaal,ka bolokologi .,Ngokukhululekileyo,Zvakasununguka
5579,Nemutshimaumue,Unanimement,9.0,postive,Mot,Unanimously,Ngokufanele,Eenparig,ka go kwana .,Ngamaxesha athile,Zvisingaiti
5580,NeNzala,Jeun,-6.0,negative,Mot,Young,-Ncane,Jong,Nnyane,Umncinci,Mudiki
5581,Netshiji,Misérablement,-8.0,negative,Mot,Miserably,Ngokudabukisayo,Jammerlik,ka tsela e bobe .,Ngqiqweni,Zvisingaite
5582,Netshijila,Purement,9.0,postive,Mot,Purely,Kuphela,Suiwer,E hloekileng feela .,Icocekile,Zvakachena
5583,Neje,Neige,6.0,postive,Mot,Snow,Iqhwa elikhithikile,Sneeu,Lehlwa,Ikhephu,Chando
5584,Nfigi,Figue,5.0,postive,Mot,Fig,Umkhiwane,Fig,FIG .,ikhiwane,Fig
5585,Nfudilu,Bout,0.0,neutral,Mot,End,Ukugcina,Einde,Mafelelo,Isiphelo,Kupera
5586,Nfulakatelio,Pièce,4.0,postive,Mot,Piece,Isiqephu,Stuk,Karolo,Isiqwenga,Chidimbu
5587,Nfumu,Chef,7.0,postive,Mot,Chief,Ophethe,Hoof,Kgoši,Inkosi,Chief
5588,Ngabu,Bouclier,6.0,postive,Mot,Shield,Isihlangu,Skild,Kotse,Ikhaka,Nhovo
5589,Ngasa,Grâce,9.0,postive,Mot,Grace,Umusa,Genade,Mohau .,Ubabalo,Nyasha
5590,"Ngasa,disanka,",Gré,7.0,postive,Mot,Gre,Bhethizetheka,Gre,Gre .,Gre,Gre
5591,NgeleluwaMenji,Raisonnement,8.0,postive,Mot,Reasoning,Ukubeka into enengqondo,Redenering,Go bea mabaka .,Ukuqiqa,Kukurukurirana
5592,Ngena,Géhenne,-9.0,negative,Mot,Gehenna,IGhehanna,Gehenna,Gehenna .,Gehena,Gehena
5593,Ngendamushinga,Marchand,4.0,postive,Mot,Merchant,Umthengisi,Handelaar,Mogwebi,Umthengisi,Mutengesi
5594,Ngikadilu,Qualité,0.0,neutral,Mot,Quality,Isimo,Kwaliteit,Boleng,Umgangatho,Mhando
5595,Ngolo,Or,8.0,postive,Mot,Gold,Imali ebomvu,Goud,Gauta,Igolide,Goridhe
5596,Ngombe,Bœuf,0.0,neutral,Mot,Beef,Inyama yenkomo,Beesvleis,Nama ya kgomo,Inyama yenkomo,Nyama yemombe
5597,Ngondo,Mois,6.0,postive,Mot,Month,Inyanga,Maand,Kgwedi,Inyanga,Mwedzi
5598,Ngulube,Pourceau,-6.0,negative,Mot,Pig,Ingulube,Vark,Kolobe,Ihagu,Nguruve
5599,Ngulubemukaji,Truie,-5.0,negative,Mot,Sow,Thwalwa,Saai,Bjala .,Hlwayela,Kudyara
5600,Nhikidilu,Fin,7.0,postive,Mot,END,Ukugcina,EINDE,MAFELELO,ISIPHELO,Kupera
5601,Njanu,Murmure,-6.0,negative,Mot,Murmur,Ukhololo,Gemor,Go ngunanguna .,Murmur,Kugunun'una
5602,"Njetu,mulemenda",Boiteux,-7.0,negative,Mot,Lame,-Khelezayo,Lam,Hlotšago,Isiqhwala,Lame
5603,Njila,Voie,6.0,postive,Mot,Way,Indlela,Manier,Tsela,Indlela,Nzira
5604,Njilawakupatukila,Issue,5.0,postive,Mot,Issue,Izindaba okuphikiswana ngazo,Kwessie,Tlhagišo,Khupha,Nyaya
5605,Njila;kuyane,Route,4.0,postive,Mot,Road,Umgwaqo,Pad,Tsela,Indlela,Mugwagwa
5606,Njiû,Périlleux,-7.0,negative,Mot,Perilous,-Ezwayo,Gevaarlik,E kotsi .,Ubungozi,Njodzi
5607,Nkamaibidi,Deuxcents,0.0,neutral,Nombre,Two hundred,Amakhulu amabili,Twee honderd,makgolo a mabedi .,Amawaka amabini,Mazana maviri
5608,Nkamainayi,Quatrecents,0.0,neutral,Nombre,Four hundred,Namakhulu amane,Vier honderd,Makgolo a Mane .,Amawaka amane,Mazana mana
5609,Maluakukema,Merveill,9.0,postive,Mot,Wonder,Ukumangala,Wonder,Tlabega,Uyazibuza,Kushamisika
5610,MaluadikaayiaNzambi,Impiété,-8.0,negative,Mot,Impiety,Ukuthakasaba,Goddeloosheid,Go se ikemišetše .,Ifihla,Zvisina kunaka
5611,Maluvu,Cervoise,0.0,neutral,Mot,Cervoise,Isikhonzi,Servoise,Cervoise .,I-curvoise,Cervoise
5612,Maluvu(anvinyo),Vin,0.0,neutral,Mot,Wine,Iwayini,Wyn,Beine,Isiselo somdiliya,Waini
5613,Mamata,Grumeau,-4.0,negative,Mot,Lump,Isigaxa,Klomp,Sekutu,Intlavu,Lump
5614,Maminu,Produit,5.0,postive,Mot,Product,Umphumela,Produk,Setšweletšwa,Imveliso,Chigadzirwa
5615,Mamona,Richess,-7.0,negative,Mot,Wealth,Ingcebo,Rykdom,Lehumo,Ubutyebi,Pfuma
5616,Mampanu,Tuile,0.0,neutral,Mot,Tile,Itilo,Teël,Thaele .,Tile,Tile
5617,Mamu,Mère,9.0,postive,Mot,Mother,Umame,Moeder,Mma,Umama,Amai
5618,Mana,Manne,8.0,postive,Mot,Manna,Umanana,Manna,Manna .,Imana,Mana
5619,Manananshi,Parfum,7.0,postive,Mot,Scent,Iphunga,Geur,Monkgo,Ivumba,Kunhuhwirira
5620,MananshiaNado,Nard,6.0,postive,Mot,Nard,Isigwegwe,Nard,Nard .,I-nard,Nadhi
5621,Mansanga,Coin,0.0,neutral,Mot,Corner,Ingosi,Hoek,Sekhutlo,Kwikona,Kona
5622,Manseba,,4.0,postive,Mot,nah,nah,nee,Nah .,nah,Nah
5623,Manyi,Huile,5.0,postive,Mot,Oil,Amafutha,Olie,Oli,Ioyile,Mafuta
5624,Mapuapua,Aile,6.0,postive,Mot,Wing,Iphiko,Vlerk,Lephego la lephego .,Iphiko,Wing
5625,Marbre,Marbre,7.0,postive,Mot,Marble,Itshe elmabula,Marmer,Mmabole .,Marble,Marble
5626,Masandi,Débauche,-8.0,negative,Mot,Debauchery,Ukuphosana,Losbandigheid,Boitlhamelo .,I-Debauechery,Deabucery
5627,Masangu,Carrefour,0.0,neutral,Mot,Crossroads,Imigwaqo,Kruispad,Mabato a ditsela .,I-rossroads,Crossroads
5628,Mashi,Sang,-6.0,negative,Mot,Blood,Igazi,Bloed,Madi,Igazi,Ropa
5629,Mashika,Froid,-4.0,negative,Mot,Cold,Ukubanda,Koud,Tonya,Kubanda,Kutonhora
5630,Mashinde,Pâture,5.0,postive,Mot,Pasture,Idlela,Weiding,Mafulo .,Amadlelo,Mafuro
5631,Matambe,Infinimentplus,8.0,postive,Mot,Infinitelymore,Insekermore,Oneindig meer,Ka mo go sa felego mogo .,Ngokungalunganga,Infinitelymore
5632,Matandu,Querelle,-7.0,negative,Mot,Quarrel,Xabana,Twis,Kgakgana,Ixampe,Kupopotedzana
5633,Mateketa,Infirmité,-6.0,negative,Mot,Infirmity,Mpofu,Swakheid,Boko .,Ubuthathaka,Kushaya simba
5634,"Matshika,luseke",Territoire,4.0,postive,Mot,Territory,Umbuso,Gebied,Mollwane,Intsimi,Ndima
5635,Matshuwa,Matshuwa,0.0,neutral,Mot,nah,nah,nee,Nah .,nah,Nah
5636,Matuku(masomba),Séjour,5.0,postive,Mot,Stay,Hlala,Bly,Dula,Hlala,Gara
5637,Matukualualua,Avenir,8.0,postive,Mot,Future,-Phambili,Toekoms,Bokamoso,Kwikamva,Remangwana
5638,Matumbaanayiabulebuamuomumue,Carré,0.0,neutral,Mot,Square,Igceke,Vierkantig,Khutlonne,Isikwere,Square
5639,Mavuala,Vague,4.0,postive,Mot,Wave,Vayizela,Golf,Lephoto,Amaza,Wave
5640,Mayi,Eau,6.0,postive,Mot,Water,Nisela,Water,Meetse,Amanzi,Mvura
5641,Mayiadinemuenji,Torrent,4.0,postive,Mot,Torrent,Isithwamela,Torrent,Torrent .,Irrent,Torrent
5642,Mayimaneneatalata,Merdeverre,7.0,postive,Mot,Merdeverre,Hlunga,Merdeverre,M e r d e v e d r e .,Umnini-ndlebe,MerDeverre
5643,Mayishaakumudilu,Rudiment,0.0,neutral,Mot,Rudiment,Ukujikijelozela,Rudiment,Rudiment .,Irhasi,Rudiment
5644,"Mayishaakumudilu,bintubidibimuenekabiapabuloba",Élément,5.0,postive,Mot,Element,Isithako semvelo,Element,Ntlha,Into,Element
5645,Mbila,Cri,-5.0,negative,Mot,Cry,Memeza,Huil,Lla,Khala,Kuchema
5646,Mbomboitanu,Cinquantemille,0.0,neutral,Nombre,Fifty thousand,Izinkulungwane ezingamashumi amahlanu,Vyftigduisend,Dikete tše Masomehlano .,Amashumi amahlanu amawaka,Zviuru makumi mashanu
5647,Mbombonembombo,Millier,0.0,neutral,Nombre,Thousand,Inkulungwane,Duisend,Sekete,Iwaka,Zviuru
5648,Mbuji,Chèvre,3.0,postive,Mot,Goat,Imbuzi,Bok,Pudi,Ibhokhwe,Mbudzi
5649,Mbuji(mbumbu),Bouc,0.0,neutral,Mot,Goat,Imbuzi,Bok,Pudi,Ibhokhwe,Mbudzi
5650,Menemene,Absolument,8.0,postive,Mot,Absolutely,Nakanjani,Absoluut,Ka nnete,Ngokupheleleyo,Zvechokwadi
5651,Menji,Intention,6.0,postive,Mot,Intention,Okuqondiwe,Voorneme,Maikemišetšo,Injongo,Chinangwa
5652,Menji(a),Intellectuel,9.0,postive,Mot,Intellectual,Onobuhlakani,Intellektueel,Bohlale,Ingqondo,Njuchenjeri
5653,Menji(dipangadija),Conseil,8.0,postive,Mot,Advice,Iseluleko,Raad,Maele,Ingcebiso,Zano
5654,MenjiaNzambi,Pieux,9.0,postive,Mot,Pious,-Cwekazi,Vroom,Borapedi bja borapedi .,Inyani,Kunamata
5655,"Mesa,mensa",Table,6.0,postive,Mot,Table,Itafula,Tafel,Tafola,Itafile,Tafura
5656,Meshi(abiumabiapabuloba),Souci,-6.0,negative,Mot,Worry,Khathazeka,Bekommernis,Tshwenyega,Ixhala,Kunetseka
5657,Meyiadiyisha,Discours,7.0,postive,Mot,Speech,Intshumayelo,Toespraak,Polelo,Intetho,Kutaura
5658,Meyiamikenji,Exigence,5.0,postive,Mot,Requirement,Okudingekayo,Vereiste,Senyakwa .,Imfuneko,Zvinodiwa
5659,MeyiaNzambi,Oracle,8.0,postive,Mot,Oracle,Owesinye,Orakel,Oracle .,I-oracle,Oracle
5660,MeyiaTshiprofete,Prophétie,9.0,postive,Mot,Prophecy,Isiprofetho,Profesie,Seporofeto .,Isiprofetho,Chiporofita
5661,Mianda,Récit,6.0,postive,Mot,Narrative,Ukulandisa kwenhliziyo,Narratief,Kanegelo,Ingxelo,Nhoroondo
5662,Mibi(nyuma),Malin,-7.0,negative,Mot,Clever,-Hlakaniphile,Slim,Hlalefile,Ubukrelekrele,CLEVER
5663,Mibuabua,Renard,-6.0,negative,Mot,Fox,Uhlotshana oluthize lwempungushe,Jakkals,Phukubje,Impungutye,Fox
5664,Midima,Obscur,-5.0,negative,Mot,Obscure,-Fiphele,Duister,Šira,Ukufihlwa,Kuvanzika
5665,Miepu,Épi,5.0,postive,Mot,Ear,Indlebe,Oor,Tsebe,Indlebe,Nzeve
5666,Mifundu,Inscription,6.0,postive,Mot,Registration,Ukurejistwa,Registrasie,Boingwadišo .,Ubhaliso,Kunyoresa
5667,Mikalu,Borne,4.0,postive,Mot,Terminal,Isikhumulo,Terminale,Terminal .,Indawo yokukhwelela,Terminal
5668,Mikemu,Soupir,-5.0,negative,Mot,Sigh,Bubaza,Sug,Fegelwa,Ncwilika,Kugomera
5669,Mikenji,Loi,7.0,postive,Mot,Law,Umthetho,Wet,Molao,Umthetho,Mutemo
5670,Mikete,Artifice,-6.0,negative,Mot,Artifice,Ubuthi,Kunsgreep,Sehlomathiso .,Ubugcisa,Apficess
5671,Mikumu,Coup,-4.0,negative,Mot,Cut,Ukusika,Sny,Ripa,Sika,Cheka
5672,"Mimpe,buimpe,tshimpe…",Bon,8.0,postive,Mot,Good,Kuhle ngokuncomekayo,Goed,Gabotse,Kulungile,Kugona
5673,Minda,Luminaire,7.0,postive,Mot,Lighting,Ukhanyisela,Beligting,Mabone .,Ukukhanya,Kuvhenekera
5674,Mineku,Plaisanterie,5.0,postive,Mot,Joke,Ihlaya,Grappie,Metlae,Hlekisa,Joke
5675,Mionshi,Courroie,0.0,neutral,Mot,Belt,Isibhamba,Gordel,Lepanta,Ibhanti,Bhandi
5676,Miosa,Laine,4.0,postive,Mot,Wool,Uvolo,Wol,Wulu,Uboya,Makushe
5677,Mioyokulu,Suspen,-3.0,negative,Mot,Suspend,Hlehlisa,Opskort,Go emišwa .,Nqumamisa,Kumisa
5678,Mipote,Perpétuité,8.0,postive,Mot,Perpetuity,Ubuqili,Ewigdurigheid,Go se fele .,Ukwenzeka,Kusaririra
5679,Misambu,Psaume,9.0,postive,Mot,Psalm,Ikhasi lesiphingo,Psalm,Psalme .,IINDUMISO,Pisarema
5680,Misanguinayi,Quadruple,0.0,neutral,Mot,Quadruple,Quadruple,Vierdubbel,Go ba le makga a mane .,Quadrupple,Quadruple
5681,Misangulukama,Centuple,6.0,postive,Mot,Hundredfold,Amakhulukhulu,Honderdvoudig,Lekgolo la go menagana .,Ikhulu,Zana
5682,Misangunemisangu,Souvent,5.0,postive,Mot,Often,Vamile,Dikwels,Gantši,Rhoqo,Kazhinji
5683,Misanguyabungi,Fréquent,6.0,postive,Mot,Frequent,Gqigqa,Gereeld,Gantši,Rhoqo,Kazhinji
5684,Misanguyonso,Cesse,7.0,postive,Mot,Cease,Phela,Hou op,Emiša,Pheka,Regedza
5685,Misesu,Rue,0.0,neutral,Mot,Street,Isitaladi,Straat,Seterata,Isitrato,Mugwagwa
5686,Mishiku,Lèvre,4.0,postive,Mot,Lip,Udebe,Lip,Molomo .,Imilebe,Muromo
5687,Mishindumivulangane,Diversité,6.0,postive,Mot,Diversity,Ukwehluka,Diversiteit,Pharologano,Iyantlukwano,Kusiyana
5688,Mishindunemishindu,Divers,5.0,postive,Mot,Miscellaneous,-Nhlobonhlobo,Diverse,Hlakahlakanego,I-succellaneous,Miscellaneous
5689,"Misumba,mbombo",Myriade,7.0,postive,Mot,Myriad,Incekukazi,Magdom,Myriad .,I-reaf,Myriad
5690,Mitambebungi,Surabondamment,8.0,postive,Mot,Overabundantly,Ngokuzwakalayo,Oorvloedig,ka mo go feteletšego ka mo go feteletšego .,Ngaphezulu,Zvakanyanyisa
5691,Mitendekenu,Intercession,9.0,postive,Mot,Intercession,Ukuxolelwa,Voorbidding,Boipolelo .,Umnyhadala,Kureverera
5692,Mitshipu,Imprécations,-8.0,negative,Mot,Imprecations,Ukungasebenzi,Beskuldigings,Dikgatišo tša go se šitišwe .,Izinto ezibonakalayo,Zvisingaverengeki
5693,Momumue,Pareil,4.0,postive,Mot,The same,Okufanayo,Dieselfde,Go swana le .,Enjalo,Zvimwe chete
5694,Monjimunene,Cep,0.0,neutral,Mot,Cep,Isikhashana,Cep,CEP .,I-cup,Cep
5695,Moyo,Salutation,8.0,postive,Mot,Greeting,Izwi lokubingelela,Groete,Madume,Imibuliso,Kukwazisa
5696,Mpalawabuatu,Proue,0.0,neutral,Mot,Bow,Ukuthoba,Buig,Inama,Isaphetha,Uta
5697,Mpalata,Drachme,0.0,neutral,Mot,Drachma,Idrama,Drachme,Drachma .,Idrarchma,Drachma
5698,Mpanganu,Assorti,-5.0,negative,Mot,Assorted,-Nhlobonhlobo,Verskeie,Assorted .,Nxibelelaniswa,Assorted
5699,Mpata,Dissension,-4.0,negative,Mot,Dissension,Uhlangothi,Onenigheid,Go se kwane .,Ukwahlukana,Kupokana
5700,Mpata;kutantamena,Contredit,-6.0,negative,Verbe,Contradicted,Kuphambene,Weerspreek,E ganetšwa .,Chasa,Zvinopesana
5701,Mpidieu,Incessamment,7.0,postive,Mot,Incessantly,-Ngenakuhleleka,Onophoudelik,Ka go se kgaotše .,Ngokungapheliyo,Zvisingaperi
5702,Mpingu,Idole,-8.0,negative,Mot,Idol,Isithombe esikhulekelwayo,Idol,Modingwana .,Isithixo,Chidhori
5703,Mpokolowamayi,Réservoird'eau,4.0,postive,Mot,Water tank,Ithangi lamanzi,Watertenk,Tanka ya meetse .,Itanki lamanzi,Mvura tangi
5704,Mpongo,Vallée,5.0,postive,Mot,Valley,Isihosha,Vallei,Molapo,Intlambo,Mupata
5705,Mpudimatshiu,Sourd,-6.0,negative,Mot,Deaf,-Ngenakuzwa ngezindlebe,Doof,Mofoafadi,Andiva,Matsi
5706,Mpukapuka,Aventure,6.0,postive,Mot,Adventure,Ukwenza okungajweyelekile nokuqabulayo,Avontuur,Bohlagahlaga,I-adventure,Mutambo
5707,Mpunda,Ânesse,0.0,neutral,Mot,Donkey,Imbongolo,Donkie,Tonki,Idonki,Mbongoro
5708,Mpunda(buampunda),Somme,0.0,neutral,Mot,Sum,Isibalo,Som,Palomoka,Isixa,Sum
5709,Mpungi,Trompette,6.0,postive,Mot,Trumpet,Icilongo,Trompet,Phalafala .,Ixilongo,Hwamanda
5710,Mpungu,Péage,0.0,neutral,Mot,TOLL,INDAWO YOKUKHOKHA,TOL,Tefo ya go lefelwa .,ITHOLI,Toll
5711,Mputa,Plaindre,-7.0,negative,Verbe,Complain,Khalaza,Kla,Belaela,Ukhalaza,Kunyunyuta
5712,Mputawalubangu,Gangrène,-8.0,negative,Mot,Gangrene,Gangrene,Gangreen,Gangrene .,Gangrene,Gangrene
5713,"Mputa,mikumu",Blessure,-6.0,negative,Mot,Injury,Isikhubazo,Besering,Kgobalo,Ukwenzakala,Kukuvara
5714,Mputa,Ulcère,-7.0,negative,Mot,Ulcer,Isilonda,Ulkus,Seso sa .,Isilonda,Ulcer
5715,Mubulelela,Certainement,8.0,postive,Mot,Certainly,Impela,Sekerlik,Ka nnete,Ngokuqinisekileyo,Zvirokwazvo
5716,Mudifuanagana,Conformitéde,8.0,postive,Mot,Compliance,Ukuthobela,Voldoening,Obamela,Ukuthobela,Kutevedzera
5717,Mudinyunguluka,Ronde,5.0,postive,Mot,Round,-Yingiliza,Ronde,Sediko,Jikelezo,Kutenderera
5718,Mukuenza(nunku),Entrefaites,4.0,postive,Mot,Entrefaits,Entrefaits,Entrefaits,Di-Trefait .,Inzuzo,Entrefaits
5719,Mumayi,Large,6.0,postive,Mot,Wide,-Banzi,Wyd,Phara,Banzi,Wide
5720,Mumushinduonso,Manière,5.0,postive,Mot,Manner,Uhlobo,Manier,Mokgwa,Ngendlela,Maitiro
5721,Mumusokoko,Secrètement,7.0,postive,Mot,Secretly,Ngasese,In die geheim,Ka sephiring .,Ngasese,Muchivande
5722,Munkatshi,Milieu,4.0,postive,Mot,Medium,Okuphakathi,Medium,Dirišwago,Phakathi,Pakati
5723,MuNyuma,Spirituellement,9.0,postive,Mot,Spiritually,Ngokomoya,Geestelik,Semoya .,Ngokomoya,Pakunamata
5724,Munzubu,Toit,4.0,postive,Mot,Roof,Uphahla,Dak,Marulelo,Uphahla,Denga
5725,"Mutshikondo,mutshilejelu,bu",Titre,6.0,postive,Mot,Title,Ibizo,Titel,Thaetlele,Isihloko,Zita
5726,Mutshikoso,Brièvement,7.0,postive,Mot,Briefly,Kafushane,Kortliks,ka boripana .,Ngokufutshane,Muchidimbu
5727,Mutshilele,Traditionnellement,8.0,postive,Mot,Traditionally,Ngokwesiko,Tradisioneel,ka setšo .,Ngokwesiko,Netsika
5728,Muaba,Région,5.0,postive,Mot,Region,Indawo,Streek,Selete,Umda,Dunhu
5729,Muabamupengame,Écart,-4.0,negative,Mot,Gap,Insungubezi,Gaping,Sekgoba,Umsantsa,Gap
5730,Muabamutumbuke,Estrade,4.0,postive,Mot,Platform,Indawo yokuqhudelana,Platform,Polatefomo,Iqonga,Chikuva
5731,Muabawabafue,Hadès,-9.0,negative,Mot,Hades,Hase,Hades,Hades .,Hads,Hadhesi
5732,Muabawakuala,Logement,5.0,postive,Mot,Accommodation,Indawo yokuhlala nokulala,Akkommodasie,Marobalo,Indawo yokuhlala,Pekugara
5733,Muabawamabue,Pavé,0.0,neutral,Mot,Pavement,Indlela yokuhamba ngezinyawo eseduze nomgwaqo,Sypaadjie,Tselanathoko,Indlela,Pambiro
5734,Muabawetu(ditunga),Patrie,8.0,postive,Mot,Country,Izwe,Land,Naga,Ilizwe,Nyika
5735,Muabanyanganyi,Participant,6.0,postive,Mot,Participant,Umhlanganyeli,Deelnemer,Motšeakarolo .,Inxaxheba,Mutori wechikamu
5736,Muadi,Pleur,-6.0,negative,Mot,Cry,Memeza,Huil,Lla,Khala,Kuchema
5737,Muakane,Juste,9.0,postive,Mot,Just,-Qotho,Net,Fela,Nje,Just
5738,Muakuidi,Sacrificateur,7.0,postive,Mot,Priest,Mpristi,Priester,Moruti,Umbingeleli,Mupristi
5739,Muakuidimunene,Souverainsacrificateur,9.0,postive,Mot,Highpriest,-Phezulu,Hoëpriester,Highspest .,Ukuphakama,HighPrest
5740,Muakulu,Langage,6.0,postive,Mot,Language,Ulimi,Taal,Polelo,Ulwimi,Mutauro
5741,Muakulu(mukese),Dialecte,5.0,postive,Mot,Dialect,Lwendawo,Dialek,Polelosemmotwana .,Ulwimi,Mutauro
5742,Muambi,Prédicateur,8.0,postive,Mot,Preacher,Umshumayeli,Prediker,Mmoledi .,Umshumayeli,Muparidzi
5743,Muambuluishangany,Associé,7.0,postive,Mot,Partner,Obambisene naye ebhizinisini,Vennoot,Molekane,Iqabane,Mumwe wako
5744,Muan'abomukashi,Sœur,8.0,postive,Mot,Sister,Udadewenu,Suster,Sesi,Usisi,Hanzvadzi sikana
5745,Muana,"Enfant,Petit",7.0,postive,Mot,"Child,Small","Ingane, ezincane","Kind, Klein","Ngwana,e nyenyane .","Umntwana, omncinci","Mwana, zvidiki"
5746,Muanabute,Premier-né,8.0,postive,Mot,Firstborn,Izibulo,Eersgeborene,Leitšibulo .,Amazibulo,Dangwe
5747,Muanamukaji,Fille,7.0,postive,Mot,Girl,Intombi,Meisie,Mosetsana,Intombazana,Musikana
5748,Muanamulume,Fils,8.0,postive,Mot,Son,Umfana,Seun,Morwa .,Unyana,Mwanakomana
5749,Muanawadibutuka,Filsdeperdition,-8.0,negative,Mot,Son of Perdition,Indodana ye-perition,Seun van die verderf,Morwa wa Pedi .,Unyana weperdia,Mwanakomana wekuparadzwa
5750,Muanawamasandi,Bâtard,-7.0,negative,Mot,Bastard,Udoti,Bastard,Lepastere,Inja,Bastard
5751,Muanawamungena,Filsdelagéhenne,-9.0,negative,Mot,Sondelagéhenne,Sondelagéhenne,Sondelagéhenne,Sondelagéhenne ya go hlaboša.,Sondelagéhenne,Sondelagéhenne
5752,Muanawamukoko,Agneau,9.0,postive,Mot,Lamb,inyama yemvu,Lam,Kwana,inyama yegusha,Gwayana
5753,Muanawamunya,Filsdelalumière,9.0,postive,Mot,Sons of Light,Amadodana Okukhanya,Seuns van die Lig,Barwa ba Seetša .,Oonyana bokukhanya,Vanakomana vechiedza
5754,Muanawangombemukaji,Génisse,0.0,neutral,Mot,Heifer,Isithomulo soHiferi,Vers,Heifer .,Heifor,Tsiru
5755,MuanawaNgombe,Veau,0.0,neutral,Mot,Calf,Isitho,Kalf,Namane,Ithole,Mhuru
5756,Muanawanshiye,Orphelin,-6.0,negative,Mot,Orphan,Intandane,Weeskind,Tšhuana,Inkedama,Orphan
5757,Muandamukulu,Huit,0.0,neutral,Nombre,Eight,Isishiyagalombili,Agt,Seswai,Sibhozo,Sere
5758,Muandamutekete,Sept,0.0,neutral,Nombre,Seven,Isikhombisa,Sewe,Seven .,Sixhengxe,Zvinomwe
5759,Muanetu,Frère,8.0,postive,Mot,Brother,Umfowenu,Broer,Buti,Ubhuti,Hanzvadzi konama
5760,Muangatshipamue,Coparticipant,7.0,postive,Mot,Co-participant,Obambe iqhaza,Mede-deelnemer,Motšeakarolo mmogo .,I-Co-thatha inxaxheba,Co-mutori vechikamu
5761,Muanjelo,Ange,9.0,postive,Mot,Angel,Ingelosi,Engel,Lengeloi,Ingelosi,Ngirozi
5762,Muanjelomutambebakuabu,Archange,9.0,postive,Mot,Archangel,Indawo yokubekezela,Aartsengel,Morongwa yo Mogolo .,Inkosi,Ngirozil
5763,Muanzankongolo,Arcenciel,9.0,postive,Mot,Rainbow,Uthingo lwenkosazana,Reënboog,Molalatladi .,Umnyama,Rainbow
5764,Muasambi,Consolateur,8.0,postive,Mot,Comforter,Umgorphater,Trooster,Mohomotši wa Mohomo .,Umthuthuzeli,Munyaradzi
5765,Mubaki,Époux,7.0,postive,Mot,Husband,Umyeni,Man,Molekane wa monna,Umyeni,Murume
5766,Mubandi,Accusateur,-7.0,negative,Mot,Accuser,Umgqugquzeli,Beskuldiger,Molatodiši .,Umtyholwa,Vapomeri
5767,Mubandiwapakabalu,Cavalier,4.0,postive,Mot,Rider,Umgibeli,Ruiter,Mopalami .,Rider,Mutyairi
5768,Mubanga,Ivoire,6.0,postive,Mot,Ivory,Izinyo lendlovu,Ivoor,Manaka a tlou .,Iimpondo zendlovu,Nyanga dzenzou
5769,Mubangiwamalumapia-mapia,Inventeur,7.0,postive,Mot,Inventor,Umqambi,Uitvinder,Mohlami .,Umveleli,Muvambi
5770,Mubangila,Fiancé,8.0,postive,Mot,Fiance,Umfeyiko,Verloofde,Molekane,I-feance,Fiance
5771,Mubangu,Frange,0.0,neutral,Mot,Fringe,Umganu,Kuif,Fringe .,I-fringe,Fringe
5772,Mubanji,Riche,8.0,postive,Mot,Rich,Nothile,Ryk,Humile,Sisityebi,Mupfumi
5773,Mubengibue,Illicite,-8.0,negative,Mot,Illicit,-Ngenamsebenzi,Onwettig,Se se sego molaong .,Ukungasebenzi,Zvisirizvo
5774,Mubi(muaku),Méchant,-7.0,negative,Mot,Wicked,-Bi,Goddeloos,Bokgopo,Ongendawo,Wakaipa
5775,Mubi(Mufidimuleji),Méchant,-6.0,negative,Mot,Wicked,-Bi,Goddeloos,Bokgopo,Ongendawo,Wakaipa
5776,Mubidi,Corps,0.0,neutral,Mot,Body,Umzimba,Liggaam,Mmele,Umzimba,Muviri
5777,Mubidiudiumueneka,Extérieur,0.0,neutral,Mot,Outside,Ngembaba,Buite,Ka ntle,Ngaphandle,Kunze
5778,Mubikila,Convié,7.0,postive,Mot,Invited,-Mema,Genooi,E laleditšwe .,Imenyiwe,Kukokwa
5779,"Mubisha,Muvuijibuepamutupamulu",Élevé,8.0,postive,Mot,Pupil,Umfundi,Leerling,Morutwana,Umfundi,Mudzidzi
5780,Mubumbakane,Étroit,-4.0,negative,Mot,Narrow,-Ncane ngobubanzi,Smal,Sesane,Mxinwa,Netswa
5781,Mubundabunda,Meurtrissure,-7.0,negative,Mot,Bruising,Ukuxhamazela,Kneusing,Go gobala .,Ukuqhekeza,Kupwanya
5782,Mubungame,Triste,-6.0,negative,Mot,Sad,-Lusizi,Hartseer,Sad .,Ukukhazeka,Suwa
5783,Mudianjidi,Précurseur,8.0,postive,Mot,Precursor,Idlulisela,Voorloper,Selelekela .,I-Precursor,Precursor
